,Commit,Message
0,894f61267682bd1f5352acdcd815dbdfe8e7657c,"Merge pull request #647 from skalenetwork/enhancement/SKALE-2510-adopt-private-keys

Enhancement/skale 2510 adopt private keys"
1,b5ccde8fa7e5c7b3e8367cea7fe8e02e7c2ad596,"Merge branch 'enhancement/SKALE-2510-adopt-private-keys' of https://github.com/skalenetwork/skale-manager into enhancement/SKALE-2510-adopt-private-keys
"
2,07183b89b51cf6039c16ec02ea77c8caf666dbb4,"Rename environment private keys
"
3,bbeaecccd3dee814b942adeb9ef0927f6c616882,"SKALE-2958 Fix docker credentials
"
4,56660f1d324b4f97174d9031895a8d049a5f7062,"SKALE-2958 Add keys check
"
5,a0c8765f573bea240ef6798550e7beac8b3aaf6e,"Merge pull request #445 from skalenetwork/enhancement/SKALE-3504-hash-key

SKALE-3504 add hash on X coordinate"
6,eb3fa3d4e6ca5bffe99e58ac5f6df686f8924a09,Merge branch 'develop' into enhancement/SKALE-3504-hash-key
7,5f1cf48c4669cd51f424d59b54b72e372d569f72,"Add elliptic to test for publi keys
"
8,40edd716cfd7c39d5b59a7f44f16d7659fb3e57a,"Add public key to address function
"
9,a64d3d1b74545d112b9c72f6a3b5712000537bf8,"Merge pull request #367 from skalenetwork/enhancement/Remove-node-bls-public-keys

Enhancement/remove node bls public keys"
10,2678b8973a138beee5ae86980e427fff188034ca,"Remove computation od node bls public key
"
11,3277df534684b04bd8c11f4caf1926b85c2d7923,"Fix typo in keyStorage.ts
"
12,8d434e58e7367621d9b5ef01d5fe8e72eed1443c,"Merge pull request #296 from skalenetwork/bugfix/DKG-BLS-public-key-and-node-rotation

Bugfix/SKALE 2847 dkg bls public key and node rotation"
13,ea502c576544cfb83a03a36a064e386d64740f2b,Merge branch 'develop' into bugfix/DKG-BLS-public-key-and-node-rotation
14,bf1a9f64af33db8bb9acb4f29e36f08429030ed8,"SKALE-2847 fix calculate public key
"
15,2e7e283af5f492d4b87f24dd9a57753c3b0951b6,"init fix for BLS public key
"
16,a4d7c54e58cc387d966d1738fec064f07b627223,"Merge pull request #277 from skalenetwork/feature/SKALE-2812-admin-key

SKALE-2812 Update permissions"
17,84c69d2b96b635883d3ccd94df13593ce0507682,Merge branch 'develop' into feature/SKALE-2812-admin-key
18,1dd149d6d2e09574482f953f202129981b5f27d8,"Merge pull request #272 from skalenetwork/bug/SKALE-2810-bls-public-keys

SKALE-2810 compute public keys"
19,5f94b5721276a0a95c12526a965006784a855b68,"Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
"
20,c07e8458f5f5a1a079e9a3d1870bdc228d06bdfe,Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
21,6405dbadbe5e1e05e08a66f657b81b2894e1e7e8,Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
22,15cfde5be2d1dce578cf74938da27757e4031984,"SKALE-2810 compute public keys
"
23,f20a43f4e481ab3e76bc8c111c15eadf5934b4aa,"SKALE-2625 Change node public key format
"
24,48880c7daf5a3dc962b040602d082e53ee808a33,"Merge pull request #91 from skalenetwork/enhancement/SKALE-2214-added-past-public-keys

Added past public keys"
25,799de80597a49eda41a15dd055041826e6fbd1f6,"Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys
"
26,8abaea7e64e32d13ae64586738063ecc5ca72539,Merge branch 'develop' into enhancement/SKALE-2214-added-past-public-keys
27,b5b7bc0ac8037432785ade3710f4771a169e246f,"Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys
"
28,09ee82d919dd1c26b839ef6b3fe30e30b746eb6a,Merge branch 'develop' into enhancement/SKALE-2214-added-past-public-keys
29,d39e3d19ffdffa8e734806884b32a7903a3e2f8f,"Merge branch 'enahncement/SKALE-2228-added-block-to-schain' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys
"
30,0e4f4a9ff30c68aa68a8b6dae27c43229692615e,"Merge branch 'develop' of github.com:skalenetwork/skale-manager into enhancement/SKALE-2214-added-past-public-keys
"
31,75af7d6040be76342c2c30da05ae8a0bfdd39232,"Added past public keys
"
32,b155428b05348c33864699ad326efbb3cabf67a7,"SKALE-2060 added private keys to virtual environment
"
33,626ce6a7f2030382671f2a805a9fede37924c9a9,"SKALE-1973 Fix issue with private keys on testing
"
34,40aaa7500986bfee4dcb60fc9df701ca92128daf,"SKALE-1806 DKG related fixes, key parts order
"
35,4d16d1cd6ae1edf6fdd0b3c62f273ee0fcaaa8e6,"Finally fixed order of public keys
"
36,390f2e40cdc8dacd321f0c25a9f4d70032af7a85,"Fixed order of public key
"
37,0942ff4368ccdc8956de1144b98f61b7ef914460,"Remove private keys from travis yml
"
38,51ac240bbeb9fe6fdb45114b1500c657000d21d2,"SKALE-1213 added verify function based on schains publickey
"
